鄉鎮市區,土地面積平方公尺,租賃年月日,租賃層次,建物型態,單價元平方公尺
The villages and towns urban district,land shifting total area square meter,transaction year month and day,shifting level,building state,the unit price (NTD / square meter)
中山區,5.09,1070205,十一層,住宅大樓(11層含以上有電梯),384
中山區,5.0,1070210,五層,華廈(10層含以下有電梯),419
中山區,77.5,1070201,一層,公寓(5樓含以下無電梯),500
南港區,30.95,1070214,一層,公寓(5樓含以下無電梯),478
大安區,32.48,1070206,一層,店面(店鋪),1248
中山區,56.46,1070208,八層,華廈(10層含以下有電梯),337
內湖區,12.49,1070214,三層,華廈(10層含以下有電梯),248
內湖區,21.9,1070215,九層,住宅大樓(11層含以上有電梯),389
大同區,22.0,1070123,一層,公寓(5樓含以下無電梯),322
大安區,33.42,1070212,七層,華廈(10層含以下有電梯),332
大安區,30.45,1070212,一層,店面(店鋪),932
內湖區,23.75,1070223,四層,公寓(5樓含以下無電梯),269
信義區,34.98,1070213,一層,華廈(10層含以下有電梯),919
大安區,33.66,1070124,一層,辦公商業大樓,3507
內湖區,36.81,1070223,一層,公寓(5樓含以下無電梯),228
中山區,26.05,1070103,一層,住宅大樓(11層含以上有電梯),345
大安區,9.95,1070221,五層,其他,374
內湖區,74.64,1070129,四層,廠辦,293
內湖區,24.46,1070222,十二層,住宅大樓(11層含以上有電梯),270
中山區,88.7,1070129,全,透天厝,451
中山區,107.07,1070130,全,透天厝,654
中山區,209.5,1070130,一層,住宅大樓(11層含以上有電梯),525
中山區,85.04,1070226,全,透天厝,764
松山區,6.71,1070301,一層,華廈(10層含以下有電梯),746
松山區,44.0,1070220,一層,公寓(5樓含以下無電梯),539
南港區,22.79,1060201,五層,住宅大樓(11層含以上有電梯),398
萬華區,32.99,1070301,三層,公寓(5樓含以下無電梯),165
內湖區,58.7,1070206,二層,廠辦,209
萬華區,13.44,1070205,五層,住宅大樓(11層含以上有電梯),262
中正區,102.53,1070213,一層,店面(店鋪),927
中山區,62.18,1070301,三層,華廈(10層含以下有電梯),486
內湖區,29.04,1070304,一層,店面(店鋪),278
中山區,38.0,1070305,四層,公寓(5樓含以下無電梯),366
南港區,69.41,1070301,四層,廠辦,170
中山區,29.0,1070209,一層,倉庫,NA
內湖區,13.9,1070227,一層,店面(店鋪),381
大安區,40.09,1070306,六層,華廈(10層含以下有電梯),290
中山區,313.4,1070302,NA,其他,319
松山區,27.62,1070306,三層,公寓(5樓含以下無電梯),276
北投區,30.25,1070212,一層,店面(店鋪),378
內湖區,5977.66,1070301,九層,廠辦,407
松山區,9.4,1070227,三層,住宅大樓(11層含以上有電梯),297
信義區,44.75,1070303,三層,公寓(5樓含以下無電梯),262
松山區,8.37,1070222,一層,住宅大樓(11層含以上有電梯),888
南港區,25.25,1070314,一層,公寓(5樓含以下無電梯),333
大同區,26.01,1070310,二層,公寓(5樓含以下無電梯),206
大同區,18.05,1070301,十二層,辦公商業大樓,332
大安區,7.9,1070310,六層,華廈(10層含以下有電梯),488
內湖區,46.46,1070222,一層,公寓(5樓含以下無電梯),268
內湖區,800.33,1070301,三層,廠辦,349
松山區,29.25,1070314,六層,華廈(10層含以下有電梯),272
大安區,16.73,1070315,十二層,住宅大樓(11層含以上有電梯),303
大安區,24.56,1070312,一層,住宅大樓(11層含以上有電梯),603
內湖區,26.81,1070317,一層,店面(店鋪),488
中山區,29.27,1070316,一層,公寓(5樓含以下無電梯),425
中山區,13.96,1070309,一層,華廈(10層含以下有電梯),504
松山區,11.66,1070213,十三層,辦公商業大樓,479
松山區,9.1,1070301,三層,住宅大樓(11層含以上有電梯),340
大同區,18.88,1070311,七層,住宅大樓(11層含以上有電梯),313
內湖區,354.51,1070227,九層,廠辦,649
內湖區,27.32,1070314,四層,華廈(10層含以下有電梯),234
內湖區,8.11,1070313,八層,住宅大樓(11層含以上有電梯),416
士林區,33.32,1070309,九層,華廈(10層含以下有電梯),225
松山區,9.13,1070313,十四層,住宅大樓(11層含以上有電梯),234
南港區,371.0,1070317,五層,辦公商業大樓,491
中山區,10.19,1070224,四層,套房(1房1廳1衛),593
信義區,12.03,1070321,一層,住宅大樓(11層含以上有電梯),530
大安區,6.82,1070322,一層,住宅大樓(11層含以上有電梯),1206
信義區,26.13,1070320,三層,公寓(5樓含以下無電梯),316
內湖區,42.73,1070309,三層,辦公商業大樓,556
內湖區,17.28,1020222,一層,店面(店鋪),554
中山區,5.92,1070320,三層,住宅大樓(11層含以上有電梯),704
大安區,4.97,1070301,一層,住宅大樓(11層含以上有電梯),1086
大同區,127.0,1070323,全,透天厝,425
松山區,4.18,1070321,三層,住宅大樓(11層含以上有電梯),601
中山區,795.0,1070327,一層,店面(店鋪),707
信義區,35.75,1070322,一層,公寓(5樓含以下無電梯),457
士林區,100.9,1070322,一層,店面(店鋪),409
中山區,4.12,1070324,三層,住宅大樓(11層含以上有電梯),406
松山區,372.98,1070326,六層,辦公商業大樓,401
松山區,7.82,1070323,七層,華廈(10層含以下有電梯),355
南港區,39.45,1070321,二層,住宅大樓(11層含以上有電梯),241
松山區,37.25,1070326,一層,公寓(5樓含以下無電梯),472
松山區,24.28,1070313,二層,住宅大樓(11層含以上有電梯),240
大安區,34.36,1070312,一層,店面(店鋪),867
大安區,243.0,1070325,六層,辦公商業大樓,310
中山區,9.68,1070330,十四層,住宅大樓(11層含以上有電梯),401
信義區,16.0,1070323,十七層,住宅大樓(11層含以上有電梯),754
信義區,14.15,1070323,十七層,住宅大樓(11層含以上有電梯),817
信義區,16.18,1070323,十八層,住宅大樓(11層含以上有電梯),635
信義區,13.45,1070323,十六層,住宅大樓(11層含以上有電梯),697
信義區,15.19,1070323,六層,住宅大樓(11層含以上有電梯),666
內湖區,14.28,1070401,一層,住宅大樓(11層含以上有電梯),338
內湖區,93.32,1070314,九層,廠辦,335
士林區,63.95,1070323,九層,住宅大樓(11層含以上有電梯),473
士林區,81.29,1070301,二十層,住宅大樓(11層含以上有電梯),515
北投區,116.0,1070402,二層,公寓(5樓含以下無電梯),303
內湖區,37.93,1070330,NA,其他,NA
文山區,27.58,1070328,二層,公寓(5樓含以下無電梯),206
信義區,3.93,1070222,十五層,住宅大樓(11層含以上有電梯),581
中山區,14.27,1070226,八層,住宅大樓(11層含以上有電梯),304
內湖區,1.0,1070312,五層,廠辦,470
大安區,11.75,1070410,十二層,辦公商業大樓,443
南港區,25.45,1070402,十三層,住宅大樓(11層含以上有電梯),448
南港區,27.68,1070410,五層,住宅大樓(11層含以上有電梯),395
信義區,7.38,1070324,十層,住宅大樓(11層含以上有電梯),604
信義區,7.38,1070324,十層,住宅大樓(11層含以上有電梯),604
內湖區,23.31,1070401,一層,公寓(5樓含以下無電梯),325
內湖區,16.26,1070412,一層,住宅大樓(11層含以上有電梯),419
松山區,3423.0,1070416,三層,住宅大樓(11層含以上有電梯),306
中山區,181.85,1070323,全,透天厝,1203
松山區,64.75,1070331,一層,公寓(5樓含以下無電梯),753
信義區,24.16,1070411,一層,店面(店鋪),367
內湖區,43.65,1070412,九層,辦公商業大樓,363
北投區,18.91,1070413,五層,公寓(5樓含以下無電梯),245
大安區,46.13,1070416,一層,公寓(5樓含以下無電梯),265
文山區,24.5,1070416,一層,公寓(5樓含以下無電梯),404
大安區,26.03,1070402,一層,公寓(5樓含以下無電梯),481
北投區,14.04,1070418,七層,住宅大樓(11層含以上有電梯),393
內湖區,14.05,1070418,四層,住宅大樓(11層含以上有電梯),299
中山區,13.94,1070330,四層,住宅大樓(11層含以上有電梯),322
信義區,31.25,1070403,二層,公寓(5樓含以下無電梯),367
松山區,34.13,1070402,六層,華廈(10層含以下有電梯),209
南港區,14.15,1070420,八層,華廈(10層含以下有電梯),257
信義區,4.24,1070416,十六層,辦公商業大樓,542
士林區,25.12,1070419,六層,華廈(10層含以下有電梯),200
中山區,21.98,1070401,一層,住宅大樓(11層含以上有電梯),768
松山區,4.42,1070402,十六層,住宅大樓(11層含以上有電梯),501
內湖區,15.08,1070416,二層,住宅大樓(11層含以上有電梯),289
大安區,23.78,1070423,二層,華廈(10層含以下有電梯),480
大同區,1228.0,1070331,一層,店面(店鋪),503
大同區,53.0,1070407,一層,店面(店鋪),878
中正區,144.91,1070329,一層,華廈(10層含以下有電梯),435
內湖區,22.72,1070424,三層,華廈(10層含以下有電梯),369
南港區,25.5,1070401,一層,公寓(5樓含以下無電梯),316
信義區,16.92,1070406,七層,辦公商業大樓,263
中山區,11.2,1070326,十二層,套房(1房1廳1衛),584
萬華區,123.0,1070118,一層,店面(店鋪),183
大同區,92.0,1070411,一層,店面(店鋪),371
松山區,11.45,1070423,一層,店面(店鋪),1143
內湖區,51.78,1070425,四層,華廈(10層含以下有電梯),411
內湖區,62.27,1070425,四層,華廈(10層含以下有電梯),394
士林區,84.98,1070401,一層,店面(店鋪),765
大安區,15.97,1070326,一層,店面(店鋪),1939
信義區,14.75,1070420,一層,公寓(5樓含以下無電梯),295
南港區,134.0,1070501,NA,其他,381
松山區,25.71,1070420,一層,店面(店鋪),415
內湖區,12.45,1070501,一層,華廈(10層含以下有電梯),302
中山區,0.76,1070426,NA,其他,NA
內湖區,11.43,1070410,九層,住宅大樓(11層含以上有電梯),607
大安區,599.0,1070503,九層,住宅大樓(11層含以上有電梯),395
大安區,35.0,1070419,一層,公寓(5樓含以下無電梯),625
松山區,21.58,1070418,一層,公寓(5樓含以下無電梯),425
大安區,8.66,1070507,六層,華廈(10層含以下有電梯),401
松山區,14.08,1070430,五層,辦公商業大樓,361
內湖區,41.56,1070409,NA,其他,NA
中山區,85.0,1070504,見其他登記事項,店面(店鋪),1161
